i,t,Capacity
46,9,805687
46,10,805687
46,11,805687
46,12,805687
47,1,1469194
47,2,1469194
47,3,1469194
47,4,1469194
47,5,1469194
47,6,1469194
47,7,1469194
47,8,1469194
47,9,1469194
47,10,1469194
47,11,1469194
47,12,1469194
48,1,2132701
48,2,2132701
48,3,2132701
48,4,2132701
48,5,2132701
48,6,2132701
48,7,2132701
48,8,2132701
48,9,2132701
48,10,2132701
48,11,2132701
48,12,2132701
49,1,592417
49,2,592417
49,3,592417
49,4,592417
49,5,592417
49,6,592417
49,7,592417
49,8,592417
49,9,592417
49,10,592417
49,11,592417
49,12,592417
50,1,1255924
50,2,1255924
50,3,1255924
50,4,1255924
50,5,1255924
50,6,1255924
50,7,1255924
50,8,1255924
50,9,1255924
50,10,1255924
50,11,1255924
50,12,1255924
51,1,1635071
51,2,1635071
51,3,1635071
51,4,1635071
51,5,1635071
51,6,1635071
51,7,1635071
51,8,1635071
51,9,1635071
51,10,1635071
51,11,1635071
51,12,1635071
52,1,1090047
52,2,1090047
52,3,1090047
52,4,1090047
52,5,1090047
52,6,1090047
52,7,1090047
52,8,1090047
52,9,1090047
52,10,1090047
52,11,1090047
52,12,1090047
53,1,2132701
53,2,2132701
53,3,2132701
53,4,2132701
53,5,2132701
53,6,2132701
53,7,2132701
53,8,2132701
53,9,2132701
53,10,2132701
53,11,2132701
53,12,2132701
54,1,592417
54,2,592417
54,3,592417
54,4,592417
54,5,592417
54,6,592417
54,7,592417
54,8,592417
54,9,592417
54,10,592417
54,11,592417
54,12,592417
55,1,213270
55,2,213270
55,3,213270
55,4,213270
55,5,213270
55,6,213270
55,7,213270
55,8,213270
55,9,213270
55,10,213270
55,11,213270
55,12,213270
56,1,213270
56,2,213270
56,3,213270
56,4,213270
56,5,213270
56,6,213270
56,7,213270
56,8,213270
56,9,213270
56,10,213270
56,11,213270
56,12,213270
57,1,592417
57,2,592417
57,3,592417
57,4,592417
57,5,592417
57,6,592417
57,7,592417
57,8,592417
57,9,592417
57,10,592417
57,11,592417
57,12,592417
58,1,592417
58,2,592417
58,3,592417
58,4,592417
58,5,592417
58,6,592417
58,7,592417
58,8,592417
58,9,592417
58,10,592417
58,11,592417
58,12,592417
59,1,1635071
59,2,1635071
59,3,1635071
59,4,1635071
59,5,1635071
59,6,1635071
59,7,1635071
59,8,1635071
59,9,1635071
59,10,1635071
59,11,1635071
59,12,1635071
60,1,1469194
60,2,1469194
60,3,1469194
60,4,1469194
60,5,1469194
60,6,1469194
60,7,1469194
60,8,1469194
60,9,1469194
60,10,1469194
60,11,1469194
60,12,1469194
61,1,426540
61,2,426540
61,3,426540
61,4,426540
61,5,426540
61,6,426540
61,7,426540
61,8,426540
61,9,426540
61,10,426540
61,11,426540
61,12,426540
62,1,2132701
62,2,2132701
62,3,2132701
62,4,2132701
62,5,2132701
62,6,2132701
62,7,2132701
62,8,2132701
62,9,2132701
62,10,2132701
62,11,2132701
62,12,2132701
63,1,805687
63,2,805687
63,3,805687
63,4,805687
63,5,805687
63,6,805687
63,7,805687
63,8,805687
63,9,805687
63,10,805687
63,11,805687
63,12,805687
64,1,1090047
64,2,1090047
64,3,1090047
64,4,1090047
64,5,1090047
64,6,1090047
64,7,1090047
64,8,1090047
64,9,1090047
64,10,1090047
64,11,1090047
64,12,1090047
65,1,805687
65,2,805687
65,3,805687
65,4,805687
65,5,805687
65,6,805687
65,7,805687
65,8,805687
65,9,805687
65,10,805687
65,11,805687
65,12,805687
66,1,805687
66,2,805687
66,3,805687
66,4,805687
66,5,805687
66,6,805687
66,7,805687
66,8,805687
66,9,805687
66,10,805687
66,11,805687
66,12,805687
67,1,592417
67,2,592417
67,3,592417
67,4,592417
67,5,592417
