i,j,t,demand
18,1,9,9799
18,1,10,9799
18,1,11,9799
18,1,12,9799
18,2,1,1525
18,2,2,1525
18,2,3,1525
18,2,4,1525
18,2,5,1525
18,2,6,1525
18,2,7,1525
18,2,8,1525
18,2,9,1525
18,2,10,1525
18,2,11,1525
18,2,12,1525
18,3,1,24
18,3,2,24
18,3,3,24
18,3,4,24
18,3,5,24
18,3,6,24
18,3,7,24
18,3,8,24
18,3,9,24
18,3,10,24
18,3,11,24
18,3,12,24
19,1,1,9799
19,1,2,9799
19,1,3,9799
19,1,4,9799
19,1,5,9799
19,1,6,9799
19,1,7,9799
19,1,8,9799
19,1,9,9799
19,1,10,9799
19,1,11,9799
19,1,12,9799
19,2,1,1525
19,2,2,1525
19,2,3,1525
19,2,4,1525
19,2,5,1525
19,2,6,1525
19,2,7,1525
19,2,8,1525
19,2,9,1525
19,2,10,1525
19,2,11,1525
19,2,12,1525
19,3,1,24
19,3,2,24
19,3,3,24
19,3,4,24
19,3,5,24
19,3,6,24
19,3,7,24
19,3,8,24
19,3,9,24
19,3,10,24
19,3,11,24
19,3,12,24
20,1,1,9799
20,1,2,9799
20,1,3,9799
20,1,4,9799
20,1,5,9799
20,1,6,9799
20,1,7,9799
20,1,8,9799
20,1,9,9799
20,1,10,9799
20,1,11,9799
20,1,12,9799
20,2,1,1525
20,2,2,1525
20,2,3,1525
20,2,4,1525
20,2,5,1525
20,2,6,1525
20,2,7,1525
20,2,8,1525
20,2,9,1525
20,2,10,1525
20,2,11,1525
20,2,12,1525
20,3,1,24
20,3,2,24
20,3,3,24
20,3,4,24
20,3,5,24
20,3,6,24
20,3,7,24
20,3,8,24
20,3,9,24
20,3,10,24
20,3,11,24
20,3,12,24
21,1,1,9799
21,1,2,9799
21,1,3,9799
21,1,4,9799
21,1,5,9799
21,1,6,9799
21,1,7,9799
21,1,8,9799
21,1,9,9799
21,1,10,9799
21,1,11,9799
21,1,12,9799
21,2,1,1525
21,2,2,1525
21,2,3,1525
21,2,4,1525
21,2,5,1525
21,2,6,1525
21,2,7,1525
21,2,8,1525
21,2,9,1525
21,2,10,1525
21,2,11,1525
21,2,12,1525
21,3,1,24
21,3,2,24
21,3,3,24
21,3,4,24
21,3,5,24
21,3,6,24
21,3,7,24
21,3,8,24
21,3,9,24
21,3,10,24
21,3,11,24
21,3,12,24
22,1,1,9799
22,1,2,9799
22,1,3,9799
22,1,4,9799
22,1,5,9799
22,1,6,9799
22,1,7,9799
22,1,8,9799
22,1,9,9799
22,1,10,9799
22,1,11,9799
22,1,12,9799
22,2,1,1525
22,2,2,1525
22,2,3,1525
22,2,4,1525
22,2,5,1525
22,2,6,1525
22,2,7,1525
22,2,8,1525
22,2,9,1525
22,2,10,1525
22,2,11,1525
22,2,12,1525
22,3,1,24
22,3,2,24
22,3,3,24
22,3,4,24
22,3,5,24
22,3,6,24
22,3,7,24
22,3,8,24
22,3,9,24
22,3,10,24
22,3,11,24
22,3,12,24
23,1,1,9799
23,1,2,9799
23,1,3,9799
23,1,4,9799
23,1,5,9799
23,1,6,9799
23,1,7,9799
23,1,8,9799
23,1,9,9799
23,1,10,9799
23,1,11,9799
23,1,12,9799
23,2,1,1525
23,2,2,1525
23,2,3,1525
23,2,4,1525
23,2,5,1525
23,2,6,1525
23,2,7,1525
23,2,8,1525
23,2,9,1525
23,2,10,1525
23,2,11,1525
23,2,12,1525
23,3,1,24
23,3,2,24
23,3,3,24
23,3,4,24
23,3,5,24
23,3,6,24
23,3,7,24
23,3,8,24
23,3,9,24
23,3,10,24
23,3,11,24
23,3,12,24
