,Name,Value
248,"Iit[1,246]",15855.0
249,"Iit[1,247]",6342.0
250,"Iit[1,248]",3171.0
251,"Iit[1,249]",3171.0
252,"Iit[1,250]",5654.0
253,"Iit[1,251]",-0.0
254,"Iit[1,252]",5654.0
255,"Iit[1,253]",-0.0
256,"Iit[1,254]",-0.0
257,"Iit[1,255]",5654.0
258,"Iit[1,256]",-0.0
259,"Iit[1,257]",8028.0
260,"Iit[1,258]",8028.0
261,"Iit[1,259]",8028.0
262,"Iit[1,260]",8028.0
263,"Iit[1,261]",8028.0
264,"Iit[1,262]",24084.0
265,"Iit[1,263]",4014.0
266,"Iit[1,264]",24084.0
267,"Iit[1,265]",4014.0
268,"Iit[1,266]",4014.0
269,"Iit[1,267]",8913.0
270,"Iit[1,268]",634.0
271,"Iit[1,269]",0.0
272,"Iit[1,270]",32681.0
273,"Iit[1,271]",-0.0
274,"Iit[1,272]",8913.0
275,"Iit[1,273]",8913.0
276,"Iit[1,274]",8913.0
277,"Iit[1,275]",5942.0
278,"Iit[1,276]",5942.0
279,"Iit[1,277]",11884.0
280,"Iit[1,278]",-0.0
281,"Iit[1,279]",5942.0
282,"Iit[1,280]",5942.0
283,"Iit[1,281]",5942.0
284,"Iit[1,282]",5942.0
285,"Iit[1,283]",11884.0
286,"Iit[1,284]",11884.0
287,"Iit[1,285]",2971.0
288,"Iit[1,286]",5942.0
289,"Iit[1,287]",-0.0
290,"Iit[1,288]",5942.0
291,"Iit[1,289]",5942.0
292,"Iit[1,290]",8913.0
293,"Iit[1,291]",4843.0
294,"Iit[1,292]",4843.0
295,"Iit[1,293]",-0.0
296,"Iit[1,294]",4843.0
297,"Iit[1,295]",4843.0
298,"Iit[1,296]",4843.0
299,"Iit[1,297]",0.0
300,"Iit[1,298]",-0.0
301,"Iit[1,299]",-0.0
302,"Iit[1,300]",9686.0
303,"Iit[1,301]",4843.0
304,"Iit[1,302]",4843.0
305,"Iit[1,303]",-0.0
306,"Iit[1,304]",4843.0
307,"Iit[1,305]",0.0
308,"Iit[1,306]",656.0
309,"Iit[1,307]",4843.0
310,"Iit[1,308]",4843.0
311,"Iit[1,309]",0.0
312,"Iit[1,310]",7787.0
313,"Iit[1,311]",-0.0
314,"Iit[1,312]",4843.0
315,"Iit[1,313]",3249.0
316,"Iit[1,314]",-0.0
317,"Iit[1,315]",-0.0
318,"Iit[1,316]",3249.0
319,"Iit[1,317]",3249.0
320,"Iit[1,318]",9747.0
321,"Iit[1,319]",9747.0
322,"Iit[1,320]",-0.0
323,"Iit[1,321]",3249.0
324,"Iit[1,322]",-0.0
325,"Iit[1,323]",0.0
326,"Iit[1,324]",-0.0
327,"Iit[1,325]",-0.0
328,"Iit[1,326]",0.0
329,"Iit[1,327]",-0.0
330,"Iit[1,328]",-0.0
331,"Iit[1,329]",-0.0
332,"Iit[1,330]",-0.0
333,"Iit[1,331]",-0.0
334,"Iit[1,332]",-0.0
335,"Iit[1,333]",-0.0
336,"Iit[1,334]",-0.0
337,"Iit[1,335]",-0.0
338,"Iit[1,336]",-0.0
339,"Iit[1,337]",-0.0
340,"Iit[1,338]",5922.0
341,"Iit[1,339]",19002.0
342,"Iit[1,340]",12668.0
343,"Iit[1,341]",3254.0
344,"Iit[1,342]",0.0
345,"Iit[1,343]",3254.0
346,"Iit[1,344]",6508.0
347,"Iit[1,345]",-0.0
348,"Iit[1,346]",-0.0
349,"Iit[1,347]",6508.0
350,"Iit[1,348]",3254.0
351,"Iit[1,349]",5731.0
352,"Iit[1,350]",6508.0
353,"Iit[1,351]",-0.0
354,"Iit[1,352]",-0.0
355,"Iit[1,353]",3254.0
356,"Iit[1,354]",6508.0
