,Name,Value
249,"N_nurses_it[1,84]",7.0
250,"H_nurses_it[1,84]",7.0
251,"F_nurses_it[1,84]",-0.0
252,"N_nurses_it[1,85]",7.0
253,"H_nurses_it[1,85]",7.0
254,"F_nurses_it[1,85]",-0.0
255,"N_nurses_it[1,86]",7.0
256,"H_nurses_it[1,86]",7.0
257,"F_nurses_it[1,86]",-0.0
258,"N_nurses_it[1,87]",7.0
259,"H_nurses_it[1,87]",7.0
260,"F_nurses_it[1,87]",-0.0
261,"N_nurses_it[1,88]",7.0
262,"H_nurses_it[1,88]",7.0
263,"F_nurses_it[1,88]",-0.0
264,"N_nurses_it[1,89]",7.0
265,"H_nurses_it[1,89]",7.0
266,"F_nurses_it[1,89]",-0.0
267,"N_nurses_it[1,90]",7.0
268,"H_nurses_it[1,90]",7.0
269,"F_nurses_it[1,90]",-0.0
270,"N_nurses_it[1,91]",7.0
271,"H_nurses_it[1,91]",7.0
272,"F_nurses_it[1,91]",-0.0
273,"N_nurses_it[1,92]",7.0
274,"H_nurses_it[1,92]",7.0
275,"F_nurses_it[1,92]",-0.0
276,"N_nurses_it[1,93]",6.0
277,"H_nurses_it[1,93]",6.0
278,"F_nurses_it[1,93]",-0.0
279,"N_nurses_it[1,94]",6.0
280,"H_nurses_it[1,94]",6.0
281,"F_nurses_it[1,94]",-0.0
282,"N_nurses_it[1,95]",6.0
283,"H_nurses_it[1,95]",6.0
284,"F_nurses_it[1,95]",-0.0
285,"N_nurses_it[1,96]",6.0
286,"H_nurses_it[1,96]",6.0
287,"F_nurses_it[1,96]",-0.0
288,"N_nurses_it[1,97]",6.0
289,"H_nurses_it[1,97]",6.0
290,"F_nurses_it[1,97]",-0.0
291,"N_nurses_it[1,98]",6.0
292,"H_nurses_it[1,98]",6.0
293,"F_nurses_it[1,98]",-0.0
294,"N_nurses_it[1,99]",6.0
295,"H_nurses_it[1,99]",6.0
296,"F_nurses_it[1,99]",-0.0
297,"N_nurses_it[1,100]",6.0
298,"H_nurses_it[1,100]",6.0
299,"F_nurses_it[1,100]",-0.0
300,"N_nurses_it[1,101]",6.0
301,"H_nurses_it[1,101]",6.0
302,"F_nurses_it[1,101]",-0.0
303,"N_nurses_it[1,102]",6.0
304,"H_nurses_it[1,102]",6.0
305,"F_nurses_it[1,102]",-0.0
306,"N_nurses_it[1,103]",6.0
307,"H_nurses_it[1,103]",6.0
308,"F_nurses_it[1,103]",-0.0
309,"N_nurses_it[1,104]",7.0
310,"H_nurses_it[1,104]",7.0
311,"F_nurses_it[1,104]",-0.0
312,"N_nurses_it[1,105]",7.0
313,"H_nurses_it[1,105]",7.0
314,"F_nurses_it[1,105]",-0.0
315,"N_nurses_it[1,106]",7.0
316,"H_nurses_it[1,106]",7.0
317,"F_nurses_it[1,106]",-0.0
318,"N_nurses_it[1,107]",7.0
319,"H_nurses_it[1,107]",7.0
320,"F_nurses_it[1,107]",-0.0
321,"N_nurses_it[1,108]",7.0
322,"H_nurses_it[1,108]",7.0
323,"F_nurses_it[1,108]",-0.0
324,"N_nurses_it[1,109]",7.0
325,"H_nurses_it[1,109]",7.0
326,"F_nurses_it[1,109]",-0.0
327,"N_nurses_it[1,110]",7.0
328,"H_nurses_it[1,110]",7.0
329,"F_nurses_it[1,110]",-0.0
330,"N_nurses_it[1,111]",7.0
331,"H_nurses_it[1,111]",7.0
332,"F_nurses_it[1,111]",-0.0
333,"N_nurses_it[1,112]",7.0
334,"H_nurses_it[1,112]",7.0
335,"F_nurses_it[1,112]",-0.0
336,"N_nurses_it[1,113]",7.0
337,"H_nurses_it[1,113]",7.0
338,"F_nurses_it[1,113]",-0.0
339,"N_nurses_it[1,114]",7.0
340,"H_nurses_it[1,114]",7.0
341,"F_nurses_it[1,114]",-0.0
342,"N_nurses_it[1,115]",7.0
343,"H_nurses_it[1,115]",7.0
344,"F_nurses_it[1,115]",-0.0
345,"N_nurses_it[1,116]",7.0
346,"H_nurses_it[1,116]",7.0
347,"F_nurses_it[1,116]",-0.0
348,"N_nurses_it[1,117]",7.0
349,"H_nurses_it[1,117]",7.0
350,"F_nurses_it[1,117]",-0.0
351,"N_nurses_it[1,118]",7.0
352,"H_nurses_it[1,118]",7.0
353,"F_nurses_it[1,118]",-0.0
354,"N_nurses_it[1,119]",7.0
355,"H_nurses_it[1,119]",7.0
356,"F_nurses_it[1,119]",-0.0
357,"N_nurses_it[1,120]",7.0
358,"H_nurses_it[1,120]",7.0
359,"F_nurses_it[1,120]",-0.0
360,"N_nurses_it[1,121]",7.0
361,"H_nurses_it[1,121]",7.0
362,"F_nurses_it[1,121]",-0.0
363,"N_nurses_it[1,122]",7.0
364,"H_nurses_it[1,122]",7.0
365,"F_nurses_it[1,122]",-0.0
366,"N_nurses_it[1,123]",7.0
367,"H_nurses_it[1,123]",7.0
368,"F_nurses_it[1,123]",-0.0
369,"N_nurses_it[1,124]",7.0
370,"H_nurses_it[1,124]",7.0
371,"F_nurses_it[1,124]",-0.0
372,"N_nurses_it[1,125]",7.0
373,"H_nurses_it[1,125]",7.0
374,"F_nurses_it[1,125]",-0.0
375,"N_nurses_it[1,126]",7.0
376,"H_nurses_it[1,126]",7.0
377,"F_nurses_it[1,126]",-0.0
378,"N_nurses_it[1,127]",7.0
379,"H_nurses_it[1,127]",7.0
380,"F_nurses_it[1,127]",-0.0
381,"N_nurses_it[1,128]",7.0
382,"H_nurses_it[1,128]",7.0
383,"F_nurses_it[1,128]",-0.0
384,"N_nurses_it[1,129]",7.0
385,"H_nurses_it[1,129]",7.0
386,"F_nurses_it[1,129]",-0.0
387,"N_nurses_it[1,130]",7.0
388,"H_nurses_it[1,130]",7.0
389,"F_nurses_it[1,130]",-0.0
390,"N_nurses_it[1,131]",7.0
391,"H_nurses_it[1,131]",7.0
392,"F_nurses_it[1,131]",-0.0
393,"N_nurses_it[1,132]",7.0
394,"H_nurses_it[1,132]",7.0
395,"F_nurses_it[1,132]",-0.0
396,"N_nurses_it[1,133]",7.0
397,"H_nurses_it[1,133]",7.0
398,"F_nurses_it[1,133]",-0.0
399,"N_nurses_it[1,134]",7.0
400,"H_nurses_it[1,134]",7.0
401,"F_nurses_it[1,134]",-0.0
402,"N_nurses_it[1,135]",7.0
403,"H_nurses_it[1,135]",7.0
404,"F_nurses_it[1,135]",-0.0
405,"N_nurses_it[1,136]",7.0
406,"H_nurses_it[1,136]",7.0
407,"F_nurses_it[1,136]",-0.0
408,"N_nurses_it[1,137]",7.0
409,"H_nurses_it[1,137]",7.0
410,"F_nurses_it[1,137]",-0.0
411,"N_nurses_it[1,138]",7.0
412,"H_nurses_it[1,138]",7.0
413,"F_nurses_it[1,138]",-0.0
414,"N_nurses_it[1,139]",7.0
415,"H_nurses_it[1,139]",7.0
416,"F_nurses_it[1,139]",-0.0
417,"N_nurses_it[1,140]",7.0
418,"H_nurses_it[1,140]",7.0
419,"F_nurses_it[1,140]",-0.0
420,"N_nurses_it[1,141]",7.0
421,"H_nurses_it[1,141]",7.0
422,"F_nurses_it[1,141]",-0.0
423,"N_nurses_it[1,142]",7.0
424,"H_nurses_it[1,142]",7.0
425,"F_nurses_it[1,142]",-0.0
426,"N_nurses_it[1,143]",7.0
427,"H_nurses_it[1,143]",7.0
428,"F_nurses_it[1,143]",-0.0
429,"N_nurses_it[1,144]",7.0
430,"H_nurses_it[1,144]",7.0
431,"F_nurses_it[1,144]",-0.0
432,"N_nurses_it[1,145]",7.0
433,"H_nurses_it[1,145]",7.0
434,"F_nurses_it[1,145]",-0.0
435,"N_nurses_it[1,146]",7.0
436,"H_nurses_it[1,146]",7.0
437,"F_nurses_it[1,146]",-0.0
438,"N_nurses_it[1,147]",7.0
439,"H_nurses_it[1,147]",7.0
440,"F_nurses_it[1,147]",-0.0
441,"N_nurses_it[1,148]",7.0
442,"H_nurses_it[1,148]",7.0
443,"F_nurses_it[1,148]",-0.0
444,"N_nurses_it[1,149]",7.0
445,"H_nurses_it[1,149]",7.0
446,"F_nurses_it[1,149]",-0.0
447,"N_nurses_it[1,150]",7.0
448,"H_nurses_it[1,150]",7.0
449,"F_nurses_it[1,150]",-0.0
450,"N_nurses_it[1,151]",7.0
451,"H_nurses_it[1,151]",7.0
452,"F_nurses_it[1,151]",-0.0
453,"N_nurses_it[1,152]",6.0
454,"H_nurses_it[1,152]",6.0
455,"F_nurses_it[1,152]",-0.0
456,"N_nurses_it[1,153]",6.0
457,"H_nurses_it[1,153]",6.0
458,"F_nurses_it[1,153]",-0.0
459,"N_nurses_it[1,154]",6.0
460,"H_nurses_it[1,154]",6.0
461,"F_nurses_it[1,154]",-0.0
462,"N_nurses_it[1,155]",6.0
463,"H_nurses_it[1,155]",6.0
464,"F_nurses_it[1,155]",-0.0
465,"N_nurses_it[1,156]",6.0
466,"H_nurses_it[1,156]",6.0
467,"F_nurses_it[1,156]",-0.0
468,"N_nurses_it[1,157]",6.0
469,"H_nurses_it[1,157]",6.0
470,"F_nurses_it[1,157]",-0.0
471,"N_nurses_it[1,158]",6.0
472,"H_nurses_it[1,158]",6.0
473,"F_nurses_it[1,158]",-0.0
474,"N_nurses_it[1,159]",6.0
475,"H_nurses_it[1,159]",6.0
476,"F_nurses_it[1,159]",-0.0
477,"N_nurses_it[1,160]",6.0
478,"H_nurses_it[1,160]",6.0
479,"F_nurses_it[1,160]",-0.0
480,"N_nurses_it[1,161]",6.0
481,"H_nurses_it[1,161]",6.0
482,"F_nurses_it[1,161]",-0.0
483,"N_nurses_it[1,162]",6.0
484,"H_nurses_it[1,162]",6.0
485,"F_nurses_it[1,162]",-0.0
486,"N_nurses_it[1,163]",6.0
487,"H_nurses_it[1,163]",6.0
488,"F_nurses_it[1,163]",-0.0
489,"N_nurses_it[1,164]",6.0
490,"H_nurses_it[1,164]",6.0
491,"F_nurses_it[1,164]",-0.0
492,"N_nurses_it[1,165]",6.0
493,"H_nurses_it[1,165]",6.0
494,"F_nurses_it[1,165]",-0.0
495,"N_nurses_it[1,166]",6.0
496,"H_nurses_it[1,166]",6.0
497,"F_nurses_it[1,166]",-0.0
498,"N_nurses_it[1,167]",6.0
499,"H_nurses_it[1,167]",6.0
500,"F_nurses_it[1,167]",-0.0
501,"N_nurses_it[1,168]",6.0
502,"H_nurses_it[1,168]",6.0
503,"F_nurses_it[1,168]",-0.0
504,"N_nurses_it[1,169]",6.0
505,"H_nurses_it[1,169]",6.0
506,"F_nurses_it[1,169]",-0.0
507,"N_nurses_it[1,170]",6.0
508,"H_nurses_it[1,170]",6.0
509,"F_nurses_it[1,170]",-0.0
510,"N_nurses_it[1,171]",6.0
511,"H_nurses_it[1,171]",6.0
512,"F_nurses_it[1,171]",-0.0
513,"N_nurses_it[1,172]",6.0
514,"H_nurses_it[1,172]",6.0
515,"F_nurses_it[1,172]",-0.0
516,"N_nurses_it[1,173]",6.0
517,"H_nurses_it[1,173]",6.0
518,"F_nurses_it[1,173]",-0.0
519,"N_nurses_it[1,174]",6.0
520,"H_nurses_it[1,174]",6.0
521,"F_nurses_it[1,174]",-0.0
522,"N_nurses_it[1,175]",6.0
523,"H_nurses_it[1,175]",6.0
524,"F_nurses_it[1,175]",-0.0
525,"N_nurses_it[1,176]",6.0
526,"H_nurses_it[1,176]",6.0
527,"F_nurses_it[1,176]",-0.0
528,"N_nurses_it[1,177]",6.0
529,"H_nurses_it[1,177]",6.0
530,"F_nurses_it[1,177]",-0.0
531,"N_nurses_it[1,178]",6.0
532,"H_nurses_it[1,178]",6.0
533,"F_nurses_it[1,178]",-0.0
534,"N_nurses_it[1,179]",6.0
535,"H_nurses_it[1,179]",6.0
536,"F_nurses_it[1,179]",-0.0
537,"N_nurses_it[1,180]",6.0
538,"H_nurses_it[1,180]",6.0
539,"F_nurses_it[1,180]",-0.0
540,"N_nurses_it[1,181]",6.0
541,"H_nurses_it[1,181]",6.0
542,"F_nurses_it[1,181]",-0.0
543,"N_nurses_it[1,182]",6.0
544,"H_nurses_it[1,182]",6.0
545,"F_nurses_it[1,182]",-0.0
546,"N_nurses_it[1,183]",6.0
547,"H_nurses_it[1,183]",6.0
548,"F_nurses_it[1,183]",-0.0
549,"N_nurses_it[1,184]",6.0
550,"H_nurses_it[1,184]",6.0
551,"F_nurses_it[1,184]",-0.0
552,"N_nurses_it[1,185]",6.0
553,"H_nurses_it[1,185]",6.0
554,"F_nurses_it[1,185]",-0.0
555,"N_nurses_it[1,186]",6.0
556,"H_nurses_it[1,186]",6.0
557,"F_nurses_it[1,186]",-0.0
558,"N_nurses_it[1,187]",6.0
559,"H_nurses_it[1,187]",6.0
560,"F_nurses_it[1,187]",-0.0
561,"N_nurses_it[1,188]",6.0
562,"H_nurses_it[1,188]",6.0
563,"F_nurses_it[1,188]",-0.0
564,"N_nurses_it[1,189]",6.0
565,"H_nurses_it[1,189]",6.0
566,"F_nurses_it[1,189]",-0.0
567,"N_nurses_it[1,190]",6.0
568,"H_nurses_it[1,190]",6.0
569,"F_nurses_it[1,190]",-0.0
570,"N_nurses_it[1,191]",6.0
571,"H_nurses_it[1,191]",6.0
572,"F_nurses_it[1,191]",-0.0
573,"N_nurses_it[1,192]",6.0
574,"H_nurses_it[1,192]",6.0
575,"F_nurses_it[1,192]",-0.0
576,"N_nurses_it[1,193]",6.0
577,"H_nurses_it[1,193]",6.0
578,"F_nurses_it[1,193]",-0.0
579,"N_nurses_it[1,194]",6.0
580,"H_nurses_it[1,194]",6.0
581,"F_nurses_it[1,194]",-0.0
582,"N_nurses_it[1,195]",6.0
583,"H_nurses_it[1,195]",6.0
584,"F_nurses_it[1,195]",-0.0
585,"N_nurses_it[1,196]",6.0
586,"H_nurses_it[1,196]",6.0
587,"F_nurses_it[1,196]",-0.0
588,"N_nurses_it[1,197]",6.0
589,"H_nurses_it[1,197]",6.0
590,"F_nurses_it[1,197]",-0.0
591,"N_nurses_it[1,198]",6.0
592,"H_nurses_it[1,198]",6.0
593,"F_nurses_it[1,198]",-0.0
594,"N_nurses_it[1,199]",6.0
595,"H_nurses_it[1,199]",6.0
596,"F_nurses_it[1,199]",-0.0
597,"N_nurses_it[1,200]",6.0
598,"H_nurses_it[1,200]",6.0
599,"F_nurses_it[1,200]",-0.0
600,"N_nurses_it[1,201]",6.0
601,"H_nurses_it[1,201]",6.0
