i,t,Capacity
54,1,125000
54,2,125000
54,3,125000
54,4,125000
54,5,125000
54,6,125000
54,7,125000
54,8,125000
54,9,125000
54,10,125000
54,11,125000
54,12,125000
55,1,45000
55,2,45000
55,3,45000
55,4,45000
55,5,45000
55,6,45000
55,7,45000
55,8,45000
55,9,45000
55,10,45000
55,11,45000
55,12,45000
56,1,45000
56,2,45000
56,3,45000
56,4,45000
56,5,45000
56,6,45000
56,7,45000
56,8,45000
56,9,45000
56,10,45000
56,11,45000
56,12,45000
57,1,125000
57,2,125000
57,3,125000
57,4,125000
57,5,125000
57,6,125000
57,7,125000
57,8,125000
57,9,125000
57,10,125000
57,11,125000
57,12,125000
58,1,125000
58,2,125000
58,3,125000
58,4,125000
58,5,125000
58,6,125000
58,7,125000
58,8,125000
58,9,125000
58,10,125000
58,11,125000
58,12,125000
59,1,345000
59,2,345000
59,3,345000
59,4,345000
59,5,345000
59,6,345000
59,7,345000
59,8,345000
59,9,345000
59,10,345000
59,11,345000
59,12,345000
60,1,310000
60,2,310000
60,3,310000
60,4,310000
60,5,310000
60,6,310000
60,7,310000
60,8,310000
60,9,310000
60,10,310000
60,11,310000
60,12,310000
61,1,90000
61,2,90000
61,3,90000
61,4,90000
61,5,90000
61,6,90000
61,7,90000
61,8,90000
61,9,90000
61,10,90000
61,11,90000
61,12,90000
62,1,450000
62,2,450000
62,3,450000
62,4,450000
62,5,450000
62,6,450000
62,7,450000
62,8,450000
62,9,450000
62,10,450000
62,11,450000
62,12,450000
63,1,170000
63,2,170000
63,3,170000
63,4,170000
63,5,170000
63,6,170000
63,7,170000
63,8,170000
63,9,170000
63,10,170000
63,11,170000
63,12,170000
64,1,230000
64,2,230000
64,3,230000
64,4,230000
64,5,230000
64,6,230000
64,7,230000
64,8,230000
64,9,230000
64,10,230000
64,11,230000
64,12,230000
65,1,170000
65,2,170000
65,3,170000
65,4,170000
65,5,170000
65,6,170000
65,7,170000
65,8,170000
65,9,170000
65,10,170000
65,11,170000
65,12,170000
66,1,170000
66,2,170000
66,3,170000
66,4,170000
66,5,170000
66,6,170000
66,7,170000
66,8,170000
66,9,170000
66,10,170000
66,11,170000
66,12,170000
67,1,125000
67,2,125000
67,3,125000
67,4,125000
67,5,125000
67,6,125000
67,7,125000
67,8,125000
67,9,125000
67,10,125000
67,11,125000
67,12,125000
68,1,345000
68,2,345000
68,3,345000
68,4,345000
68,5,345000
68,6,345000
68,7,345000
68,8,345000
68,9,345000
68,10,345000
68,11,345000
68,12,345000
69,1,345000
69,2,345000
69,3,345000
69,4,345000
69,5,345000
69,6,345000
69,7,345000
69,8,345000
69,9,345000
69,10,345000
69,11,345000
69,12,345000
70,1,345000
70,2,345000
70,3,345000
70,4,345000
70,5,345000
70,6,345000
70,7,345000
70,8,345000
70,9,345000
70,10,345000
70,11,345000
70,12,345000
71,1,170000
71,2,170000
71,3,170000
71,4,170000
71,5,170000
71,6,170000
71,7,170000
71,8,170000
71,9,170000
