,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,DVS/DVS,"Araria , Bihar, India","Arwal , Bihar, India","Aurangabad , Bihar, India","Banka , Bihar, India","Begusarai , Bihar, India","Bhagalpur , Bihar, India","Bhojpur , Bihar, India","Buxar , Bihar, India","Darbhanga , Bihar, India","East Champaran , Bihar, India","Gaya , Bihar, India","Gopalganj , Bihar, India","Jamui , Bihar, India","Jehanabad , Bihar, India","Kaimur , Bihar, India","Katihar , Bihar, India","Khagaria , Bihar, India","Kishanganj , Bihar, India","Lakhisarai , Bihar, India","Madhepura , Bihar, India","Madhubani , Bihar, India","Munger , Bihar, India","Muzaffarpur , Bihar, India","Nalanda , Bihar, India","Nawada , Bihar, India","Patna , Bihar, India","Purnia , Bihar, India","Rohtas , Bihar, India","Saharsa , Bihar, India","Samastipur , Bihar, India","Saran , Bihar, India","Sheikhpura , Bihar, India","Sheohar , Bihar, India","Sitamarhi , Bihar, India","Siwan , Bihar, India","Supaul , Bihar, India","Vaishali , Bihar, India","West Champaran , Bihar, India"
10,"East Champaran , Bihar, India",321.016,219.574,289.864,362.277,198.948,324.721,163.861,212.666,142.692,0,251.145,80.198,257.406,201.096,296.835,393.065,241.021,392.406,226.632,294.911,174.097,272.081,79.169,233.734,258.578,163.003,371.926,362.822,236.024,139.321,91.974,251.187,62.91,80.54,101.701,264.692,93.497,85.664
17,"Khagaria , Bihar, India",183.002,236.966,307.256,132.062,42.636,86.883,220.139,292.964,136.882,241.143,205.01,295.389,124.662,190.961,353.113,136.87,0,204.581,93.888,82.947,123.412,139.337,162.994,146.011,152.854,176.429,142.474,380.214,90.06,94.796,248.546,118.443,214.051,219.345,266.935,117.714,197.699,324.727
21,"Madhubani , Bihar, India",164.549,240.987,311.277,264.837,127.269,219.658,227.014,288.073,38.125,174.128,272.558,228.374,220.031,222.509,359.988,236.598,131.631,235.939,189.257,138.444,0,234.706,100.582,255.147,279.991,184.416,215.459,384.235,94.252,89.156,200.5,213.812,104.116,74.465,249.877,108.225,140.22,257.712
29,"Saharsa , Bihar, India",120.527,251.998,322.288,183.22,129.374,138.041,239.39,349.864,86.087,235.919,291.748,290.165,211.4,277.699,372.364,139.833,90.06,176.86,180.626,27.425,94.253,205.657,162.373,232.749,239.592,194.977,118.694,395.246,0,101.451,262.291,205.181,203.797,202.201,311.668,37.714,202.011,319.503
4,"Banka , Bihar, India",181.188,287.57,324.161,0,171.402,49.869,330.857,403.682,256.698,362.2,239.897,416.446,107.997,254.993,414.42,135.056,132.088,202.767,135.969,142.268,264.864,91.401,284.051,208.814,184.144,276.185,140.66,424.788,183.246,237.572,381.389,158.262,335.108,340.402,399.778,210.9,317.879,445.784
6,"Bhagalpur , Bihar, India",135.983,267.702,374.005,49.843,126.197,0,303.7,376.525,211.493,324.704,240.474,378.95,108.442,235.125,436.674,89.851,86.883,157.562,112.909,97.063,219.659,72.28,246.555,188.946,184.589,259.99,95.455,474.632,138.041,200.076,332.107,138.394,297.612,302.906,350.496,165.695,281.26,408.288
38,"West Champaran , Bihar, India",406.464,305.022,375.312,447.725,284.396,410.169,229.149,235.135,228.14,85.719,336.593,85.678,342.854,286.544,304.414,478.513,326.469,477.854,312.08,380.359,259.545,357.529,164.617,319.182,344.026,248.451,457.374,403.565,321.472,224.769,157.262,336.635,137.542,159.338,125.506,350.14,178.945,0
20,"Madhepura , Bihar, India",93.166,316.591,386.881,142.242,122.261,97.063,347.782,408.841,107.988,294.896,284.635,349.142,204.287,270.586,480.756,112.472,82.947,149.499,173.513,0,138.424,164.679,221.35,225.636,232.479,305.184,91.333,459.839,27.425,123.352,321.268,198.068,262.774,261.178,370.645,36.918,260.988,378.48
36,"Supaul , Bihar, India",111.216,327.458,397.748,210.874,157.028,165.695,313.485,374.544,124.596,260.599,319.402,314.845,239.054,308.98,446.459,183.265,117.714,182.606,208.28,36.918,104.127,233.311,187.053,260.403,267.246,270.887,162.126,470.706,37.714,175.627,286.971,232.835,228.477,226.881,336.348,0,226.691,344.183
16,"Katihar , Bihar, India",72.187,370.525,440.815,135.041,176.195,89.862,353.698,426.523,257.002,393.005,338.569,447.251,193.64,324.52,486.672,0,136.881,93.766,198.107,112.476,236.533,157.478,319.459,279.57,286.413,309.988,21.85,513.773,139.837,308.033,419.377,223.592,360.883,359.287,468.754,183.005,359.097,476.589
27,"Purnia , Bihar, India",51.031,376.118,446.408,140.634,181.788,95.455,424.735,485.794,235.846,371.849,344.162,426.095,199.233,330.113,557.709,21.879,142.474,72.61,203.7,91.32,215.377,163.071,298.303,285.163,292.006,382.137,0,519.366,118.681,286.877,398.221,229.185,339.727,338.131,447.598,161.849,337.941,455.433
1,"Araria , Bihar, India",0,387.903,458.193,181.15,222.304,135.971,373.93,434.989,185.041,321.044,419.474,375.29,239.749,369.425,506.904,72.216,182.99,71.557,244.216,93.246,164.572,203.587,247.498,325.679,332.522,331.332,51.077,531.151,120.607,236.072,347.416,269.701,288.922,287.326,396.793,111.044,287.136,404.628
18,"Kishanganj , Bihar, India",69.2,456.877,527.167,203.058,244.212,157.879,442.904,503.963,254.015,390.018,406.586,444.264,261.657,392.537,575.878,94.124,204.898,0,266.124,149.847,233.546,225.495,316.472,347.587,354.43,400.306,72.985,600.125,177.208,305.046,416.39,291.609,357.896,356.3,465.767,180.018,356.11,473.602
