i,j,demand
234,1,74169
234,2,79113
234,3,11537
235,1,74169
235,2,79113
235,3,11537
236,1,74169
236,2,79113
236,3,11537
237,1,74169
237,2,79113
237,3,11537
238,1,74169
238,2,79113
238,3,11537
239,1,74169
239,2,79113
239,3,11537
240,1,74169
240,2,79113
240,3,11537
241,1,74169
241,2,79113
241,3,11537
242,1,74169
242,2,79113
242,3,11537
243,1,74169
243,2,79113
243,3,11537
244,1,74169
244,2,79113
244,3,11537
245,1,74169
245,2,79113
245,3,11537
246,1,74169
246,2,79113
246,3,11537
247,1,74169
247,2,79113
247,3,11537
248,1,74169
248,2,79113
248,3,11537
249,1,74169
249,2,79113
249,3,11537
250,1,132274
250,2,141092
250,3,20576
251,1,132274
251,2,141092
251,3,20576
252,1,132274
252,2,141092
252,3,20576
253,1,132274
253,2,141092
253,3,20576
254,1,132274
254,2,141092
254,3,20576
255,1,132274
255,2,141092
255,3,20576
256,1,132274
256,2,141092
256,3,20576
257,1,93897
257,2,100158
257,3,14606
258,1,93897
258,2,100158
258,3,14606
259,1,93897
259,2,100158
259,3,14606
260,1,93897
260,2,100158
260,3,14606
261,1,93897
261,2,100158
261,3,14606
262,1,93897
262,2,100158
262,3,14606
263,1,93897
263,2,100158
263,3,14606
264,1,93897
264,2,100158
264,3,14606
265,1,93897
265,2,100158
265,3,14606
266,1,93897
266,2,100158
266,3,14606
267,1,69498
267,2,74130
267,3,10811
268,1,69498
268,2,74130
268,3,10811
269,1,69498
269,2,74130
269,3,10811
270,1,69498
270,2,74130
270,3,10811
271,1,69498
271,2,74130
271,3,10811
272,1,69498
272,2,74130
272,3,10811
273,1,69498
273,2,74130
273,3,10811
274,1,69498
274,2,74130
274,3,10811
275,1,69496
275,2,74129
275,3,10810
276,1,69496
276,2,74129
276,3,10810
277,1,69496
277,2,74129
277,3,10810
278,1,69496
278,2,74129
278,3,10810
279,1,69496
279,2,74129
279,3,10810
280,1,69496
280,2,74129
280,3,10810
281,1,69496
281,2,74129
281,3,10810
282,1,69496
282,2,74129
282,3,10810
283,1,69496
283,2,74129
283,3,10810
284,1,69496
284,2,74129
284,3,10810
285,1,69496
285,2,74129
285,3,10810
286,1,69496
286,2,74129
286,3,10810
287,1,69496
287,2,74129
287,3,10810
288,1,69496
288,2,74129
288,3,10810
289,1,69496
289,2,74129
289,3,10810
290,1,69496
290,2,74129
290,3,10810
291,1,113301
291,2,120855
291,3,17625
292,1,113301
292,2,120855
292,3,17625
293,1,113301
293,2,120855
293,3,17625
294,1,113301
294,2,120855
294,3,17625
295,1,113301
295,2,120855
295,3,17625
296,1,113301
296,2,120855
296,3,17625
297,1,113301
297,2,120855
297,3,17625
298,1,113301
298,2,120855
298,3,17625
299,1,113301
299,2,120855
299,3,17625
300,1,113301
300,2,120855
300,3,17625
301,1,113301
301,2,120855
301,3,17625
302,1,113301
302,2,120855
302,3,17625
303,1,113301
303,2,120855
303,3,17625
304,1,113301
304,2,120855
304,3,17625
305,1,113301
305,2,120855
305,3,17625
306,1,113301
306,2,120855
306,3,17625
307,1,113301
307,2,120855
307,3,17625
308,1,113301
308,2,120855
308,3,17625
309,1,113301
309,2,120855
309,3,17625
310,1,113301
310,2,120855
310,3,17625
311,1,113301
311,2,120855
311,3,17625
312,1,113301
312,2,120855
312,3,17625
313,1,75976
313,2,81041
313,3,11819
314,1,75976
314,2,81041
314,3,11819
315,1,75976
315,2,81041
315,3,11819
316,1,75976
316,2,81041
316,3,11819
317,1,75976
317,2,81041
317,3,11819
318,1,75976
318,2,81041
318,3,11819
319,1,75976
319,2,81041
319,3,11819
320,1,75976
320,2,81041
320,3,11819
321,1,75976
321,2,81041
321,3,11819
322,1,75976
322,2,81041
322,3,11819
323,1,148160
323,2,158037
323,3,23047
324,1,148160
324,2,158037
324,3,23047
325,1,148160
325,2,158037
325,3,23047
326,1,148160
326,2,158037
326,3,23047
327,1,148160
327,2,158037
327,3,23047
328,1,148160
328,2,158037
328,3,23047
329,1,148160
329,2,158037
329,3,23047
330,1,148160
330,2,158037
330,3,23047
331,1,148160
331,2,158037
331,3,23047
332,1,148160
332,2,158037
332,3,23047
333,1,148160
333,2,158037
333,3,23047
334,1,148160
334,2,158037
334,3,23047
335,1,148160
335,2,158037
335,3,23047
336,1,148160
336,2,158037
336,3,23047
337,1,148160
337,2,158037
337,3,23047
338,1,148160
338,2,158037
338,3,23047
339,1,148160
339,2,158037
339,3,23047
340,1,148160
340,2,158037
340,3,23047
341,1,76118
341,2,81191
341,3,11841
342,1,76118
342,2,81191
342,3,11841
343,1,76118
343,2,81191
343,3,11841
344,1,76118
344,2,81191
344,3,11841
345,1,76118
345,2,81191
345,3,11841
346,1,76118
346,2,81191
346,3,11841
347,1,76118
347,2,81191
347,3,11841
348,1,76118
348,2,81191
348,3,11841
349,1,76118
349,2,81191
349,3,11841
350,1,76118
350,2,81191
350,3,11841
351,1,76118
351,2,81191
351,3,11841
352,1,76118
352,2,81191
352,3,11841
353,1,76118
353,2,81191
353,3,11841
354,1,76118
354,2,81191
354,3,11841
355,1,76118
355,2,81191
355,3,11841
356,1,76118
356,2,81191
356,3,11841
357,1,76118
357,2,81191
357,3,11841
358,1,76118
358,2,81191
358,3,11841
359,1,76118
359,2,81191
359,3,11841
360,1,76118
360,2,81191
360,3,11841
361,1,76118
361,2,81191
361,3,11841
362,1,82179
362,2,87657
362,3,12783
363,1,82179
363,2,87657
363,3,12783
364,1,82179
364,2,87657
364,3,12783
365,1,82179
365,2,87657
365,3,12783
366,1,82179
366,2,87657
366,3,12783
367,1,82179
367,2,87657
367,3,12783
368,1,82179
368,2,87657
368,3,12783
369,1,82179
369,2,87657
369,3,12783
370,1,82179
370,2,87657
370,3,12783
371,1,82179
371,2,87657
371,3,12783
372,1,82179
372,2,87657
372,3,12783
373,1,82179
373,2,87657
373,3,12783
374,1,82179
374,2,87657
374,3,12783
375,1,82179
375,2,87657
375,3,12783
376,1,82179
376,2,87657
376,3,12783
377,1,87652
377,2,93495
377,3,13635
378,1,87652
378,2,93495
378,3,13635
379,1,87652
379,2,93495
379,3,13635
380,1,87652
380,2,93495
380,3,13635
381,1,87652
381,2,93495
381,3,13635
382,1,87652
382,2,93495
382,3,13635
383,1,87652
383,2,93495
383,3,13635
384,1,87652
384,2,93495
384,3,13635
385,1,87652
385,2,93495
385,3,13635
386,1,87652
386,2,93495
386,3,13635
387,1,87652
387,2,93495
387,3,13635
388,1,87652
388,2,93495
388,3,13635
389,1,87652
389,2,93495
389,3,13635
390,1,87652
390,2,93495
390,3,13635
391,1,87652
391,2,93495
391,3,13635
392,1,87652
392,2,93495
392,3,13635
393,1,87652
393,2,93495
393,3,13635
394,1,87652
394,2,93495
394,3,13635
395,1,87652
395,2,93495
395,3,13635
396,1,87652
396,2,93495
396,3,13635
397,1,87652
397,2,93495
397,3,13635
398,1,87652
398,2,93495
398,3,13635
399,1,87652
399,2,93495
399,3,13635
400,1,87652
400,2,93495
400,3,13635
401,1,87652
401,2,93495
401,3,13635
402,1,87652
402,2,93495
402,3,13635
403,1,87652
403,2,93495
403,3,13635
404,1,87652
404,2,93495
404,3,13635
405,1,87652
405,2,93495
405,3,13635
406,1,87652
406,2,93495
406,3,13635
407,1,87652
407,2,93495
407,3,13635
408,1,87652
408,2,93495
408,3,13635
409,1,87652
409,2,93495
409,3,13635
410,1,87652
410,2,93495
410,3,13635
411,1,87652
411,2,93495
411,3,13635
412,1,87652
412,2,93495
412,3,13635
413,1,87652
413,2,93495
413,3,13635
414,1,95443
414,2,101805
414,3,14847
415,1,95443
415,2,101805
415,3,14847
416,1,95443
416,2,101805
416,3,14847
417,1,95443
417,2,101805
417,3,14847
418,1,95443
418,2,101805
418,3,14847
419,1,95443
419,2,101805
419,3,14847
420,1,95443
420,2,101805
420,3,14847
421,1,95443
421,2,101805
421,3,14847
422,1,95443
422,2,101805
422,3,14847
423,1,95443
423,2,101805
423,3,14847
424,1,95443
424,2,101805
424,3,14847
425,1,95443
425,2,101805
425,3,14847
426,1,95443
426,2,101805
426,3,14847
427,1,95443
427,2,101805
427,3,14847
428,1,95443
428,2,101805
428,3,14847
429,1,95443
429,2,101805
429,3,14847
430,1,95443
430,2,101805
430,3,14847
431,1,95443
431,2,101805
431,3,14847
432,1,95443
432,2,101805
432,3,14847
433,1,86535
433,2,92303
433,3,13461
434,1,86535
434,2,92303
434,3,13461
435,1,86535
435,2,92303
435,3,13461
436,1,86535
436,2,92303
436,3,13461
437,1,86535
437,2,92303
437,3,13461
438,1,86535
438,2,92303
438,3,13461
439,1,86535
439,2,92303
439,3,13461
440,1,86535
440,2,92303
440,3,13461
441,1,86535
441,2,92303
441,3,13461
442,1,86535
442,2,92303
442,3,13461
443,1,86535
443,2,92303
443,3,13461
444,1,86535
444,2,92303
444,3,13461
445,1,86535
445,2,92303
445,3,13461
446,1,86535
446,2,92303
446,3,13461
447,1,86535
447,2,92303
447,3,13461
448,1,86535
448,2,92303
448,3,13461
449,1,86535
449,2,92303
449,3,13461
450,1,86535
450,2,92303
450,3,13461
451,1,86535
451,2,92303
451,3,13461
452,1,95979
452,2,102378
452,3,14930
453,1,95979
453,2,102378
453,3,14930
454,1,95979
454,2,102378
454,3,14930
455,1,95979
455,2,102378
455,3,14930
456,1,95979
456,2,102378
456,3,14930
457,1,95979
457,2,102378
457,3,14930
458,1,95979
458,2,102378
458,3,14930
459,1,95979
459,2,102378
459,3,14930
460,1,95979
460,2,102378
460,3,14930
461,1,95979
461,2,102378
461,3,14930
462,1,95979
462,2,102378
462,3,14930
463,1,112724
463,2,120238
463,3,17535
464,1,112724
464,2,120238
464,3,17535
465,1,112724
465,2,120238
465,3,17535
466,1,112724
466,2,120238
466,3,17535
467,1,112724
467,2,120238
467,3,17535
468,1,112724
468,2,120238
468,3,17535
469,1,112724
469,2,120238
469,3,17535
470,1,112724
470,2,120238
470,3,17535
471,1,112724
471,2,120238
471,3,17535
472,1,112724
472,2,120238
472,3,17535
473,1,112724
473,2,120238
473,3,17535
474,1,112724
474,2,120238
474,3,17535
475,1,112724
475,2,120238
475,3,17535
476,1,112724
476,2,120238
476,3,17535
477,1,112724
477,2,120238
477,3,17535
478,1,112724
478,2,120238
478,3,17535
479,1,112724
479,2,120238
479,3,17535
480,1,112724
480,2,120238
480,3,17535
481,1,112724
481,2,120238
481,3,17535
482,1,112724
482,2,120238
482,3,17535
483,1,112724
483,2,120238
483,3,17535
484,1,104531
484,2,111501
484,3,16260
485,1,104531
485,2,111501
485,3,16260
486,1,104531
486,2,111501
486,3,16260
487,1,104531
487,2,111501
487,3,16260
488,1,104531
488,2,111501
488,3,16260
489,1,104531
489,2,111501
489,3,16260
490,1,104531
490,2,111501
490,3,16260
491,1,104531
491,2,111501
