i,j,t,demand
60,1,1,7006
60,1,2,7006
60,1,3,7006
60,1,4,7006
60,1,5,7006
60,1,6,7006
60,1,7,7006
60,1,8,7006
60,1,9,7006
60,1,10,7006
60,1,11,7006
60,1,12,7006
61,1,1,7006
61,1,2,7006
61,1,3,7006
61,1,4,7006
61,1,5,7006
61,1,6,7006
61,1,7,7006
61,1,8,7006
61,1,9,7006
61,1,10,7006
61,1,11,7006
61,1,12,7006
62,1,1,7006
62,1,2,7006
62,1,3,7006
62,1,4,7006
62,1,5,7006
62,1,6,7006
62,1,7,7006
62,1,8,7006
62,1,9,7006
62,1,10,7006
62,1,11,7006
62,1,12,7006
63,1,1,7006
63,1,2,7006
63,1,3,7006
63,1,4,7006
63,1,5,7006
63,1,6,7006
63,1,7,7006
63,1,8,7006
63,1,9,7006
63,1,10,7006
63,1,11,7006
63,1,12,7006
64,1,1,7006
64,1,2,7006
64,1,3,7006
64,1,4,7006
64,1,5,7006
64,1,6,7006
64,1,7,7006
64,1,8,7006
64,1,9,7006
64,1,10,7006
64,1,11,7006
64,1,12,7006
65,1,1,7006
65,1,2,7006
65,1,3,7006
65,1,4,7006
65,1,5,7006
65,1,6,7006
65,1,7,7006
65,1,8,7006
65,1,9,7006
65,1,10,7006
65,1,11,7006
65,1,12,7006
66,1,1,7006
66,1,2,7006
66,1,3,7006
66,1,4,7006
66,1,5,7006
66,1,6,7006
66,1,7,7006
66,1,8,7006
66,1,9,7006
66,1,10,7006
66,1,11,7006
66,1,12,7006
67,1,1,7006
67,1,2,7006
67,1,3,7006
67,1,4,7006
67,1,5,7006
67,1,6,7006
67,1,7,7006
67,1,8,7006
67,1,9,7006
67,1,10,7006
67,1,11,7006
67,1,12,7006
68,1,1,7006
68,1,2,7006
68,1,3,7006
68,1,4,7006
68,1,5,7006
68,1,6,7006
68,1,7,7006
68,1,8,7006
68,1,9,7006
68,1,10,7006
68,1,11,7006
68,1,12,7006
69,1,1,7006
69,1,2,7006
69,1,3,7006
69,1,4,7006
69,1,5,7006
69,1,6,7006
69,1,7,7006
69,1,8,7006
69,1,9,7006
69,1,10,7006
69,1,11,7006
69,1,12,7006
70,1,1,7006
70,1,2,7006
70,1,3,7006
70,1,4,7006
70,1,5,7006
70,1,6,7006
70,1,7,7006
70,1,8,7006
70,1,9,7006
70,1,10,7006
70,1,11,7006
70,1,12,7006
71,1,1,7006
71,1,2,7006
71,1,3,7006
71,1,4,7006
71,1,5,7006
71,1,6,7006
71,1,7,7006
71,1,8,7006
71,1,9,7006
71,1,10,7006
71,1,11,7006
71,1,12,7006
72,1,1,7006
72,1,2,7006
72,1,3,7006
72,1,4,7006
72,1,5,7006
72,1,6,7006
72,1,7,7006
72,1,8,7006
72,1,9,7006
72,1,10,7006
72,1,11,7006
72,1,12,7006
73,1,1,7006
73,1,2,7006
73,1,3,7006
73,1,4,7006
73,1,5,7006
73,1,6,7006
73,1,7,7006
73,1,8,7006
73,1,9,7006
73,1,10,7006
73,1,11,7006
73,1,12,7006
74,1,1,7006
74,1,2,7006
74,1,3,7006
74,1,4,7006
74,1,5,7006
74,1,6,7006
74,1,7,7006
74,1,8,7006
74,1,9,7006
74,1,10,7006
74,1,11,7006
74,1,12,7006
75,1,1,7006
75,1,2,7006
75,1,3,7006
75,1,4,7006
75,1,5,7006
75,1,6,7006
75,1,7,7006
75,1,8,7006
75,1,9,7006
75,1,10,7006
75,1,11,7006
75,1,12,7006
76,1,1,7006
76,1,2,7006
76,1,3,7006
76,1,4,7006
76,1,5,7006
76,1,6,7006
76,1,7,7006
76,1,8,7006
76,1,9,7006
76,1,10,7006
76,1,11,7006
76,1,12,7006
77,1,1,6685
77,1,2,6685
77,1,3,6685
77,1,4,6685
77,1,5,6685
77,1,6,6685
77,1,7,6685
77,1,8,6685
77,1,9,6685
77,1,10,6685
77,1,11,6685
77,1,12,6685
78,1,1,6685
78,1,2,6685
78,1,3,6685
78,1,4,6685
78,1,5,6685
78,1,6,6685
78,1,7,6685
78,1,8,6685
