203,Gaya ,Bankey Bazar PHC,"Bankey Bazar PHC, Gaya "
204,Gaya ,Barachatti PHC,"Barachatti PHC, Gaya "
205,Gaya ,Belaganj PHC,"Belaganj PHC, Gaya "
206,Gaya ,Bodh Gaya PHC,"Bodh Gaya PHC, Gaya "
207,Gaya ,Dhobhi PHC,"Dhobhi PHC, Gaya "
208,Gaya ,Dumariya PHC,"Dumariya PHC, Gaya "
209,Gaya ,Fatehpur PHC,"Fatehpur PHC, Gaya "
210,Gaya ,Guraru PHC,"Guraru PHC, Gaya "
211,Gaya ,Gurua PHC,"Gurua PHC, Gaya "
212,Gaya ,Imamganj PHC,"Imamganj PHC, Gaya "
213,Gaya ,"Jay Prakash Narayana
Hospital","Jay Prakash Narayana
Hospital, Gaya "
214,Gaya ,Khezarsaari PHC,"Khezarsaari PHC, Gaya "
215,Gaya ,Konch PHC,"Konch PHC, Gaya "
216,Gaya ,Manpur PHC,"Manpur PHC, Gaya "
217,Gaya ,Mohanpur PHC,"Mohanpur PHC, Gaya "
218,Gaya ,Mohra PHC,"Mohra PHC, Gaya "
219,Gaya ,Nagar Prakhand PHC,"Nagar Prakhand PHC, Gaya "
220,Gaya ,Nimchak Bathanhi PHC,"Nimchak Bathanhi PHC, Gaya "
221,Gaya ,Paraiya PHC,"Paraiya PHC, Gaya "
222,Gaya ,Prabhavati Lady Hospital,"Prabhavati Lady Hospital, Gaya "
223,Gaya ,Sherghati PHC,"Sherghati PHC, Gaya "
224,Gaya ,Tankuppa PHC,"Tankuppa PHC, Gaya "
225,Gaya ,Tekari PHC,"Tekari PHC, Gaya "
226,Gaya ,Wazirganj PHC,"Wazirganj PHC, Gaya "
227,Gopalganj ,Baikunthpur CHC,"Baikunthpur CHC, Gopalganj "
228,Gopalganj ,BARAULI PHC,"BARAULI PHC, Gopalganj "
229,Gopalganj ,BHORE PHC,"BHORE PHC, Gopalganj "
230,Gopalganj ,Bijayipur PHC,"Bijayipur PHC, Gopalganj "
231,Gopalganj ,Gopalganj DH,"Gopalganj DH, Gopalganj "
232,Gopalganj ,Gopalganj Sadar PHC,"Gopalganj Sadar PHC, Gopalganj "
233,Gopalganj ,Hathuwa PHC,"Hathuwa PHC, Gopalganj "
234,Gopalganj ,Hathuwa SDH,"Hathuwa SDH, Gopalganj "
235,Gopalganj ,Kateya PHC,"Kateya PHC, Gopalganj "
