i,j,t,demand
31,2,2,20
31,2,3,20
31,2,4,20
31,2,5,20
31,2,6,20
31,2,7,20
31,2,8,20
31,2,9,20
31,2,10,20
31,2,11,20
31,2,12,20
32,1,1,1221
32,1,2,1221
32,1,3,1221
32,1,4,1221
32,1,5,1221
32,1,6,1221
32,1,7,1221
32,1,8,1221
32,1,9,1221
32,1,10,1221
32,1,11,1221
32,1,12,1221
32,2,1,20
32,2,2,20
32,2,3,20
32,2,4,20
32,2,5,20
32,2,6,20
32,2,7,20
32,2,8,20
32,2,9,20
32,2,10,20
32,2,11,20
32,2,12,20
33,1,1,1221
33,1,2,1221
33,1,3,1221
33,1,4,1221
33,1,5,1221
33,1,6,1221
33,1,7,1221
33,1,8,1221
33,1,9,1221
33,1,10,1221
33,1,11,1221
33,1,12,1221
33,2,1,20
33,2,2,20
33,2,3,20
33,2,4,20
33,2,5,20
33,2,6,20
33,2,7,20
33,2,8,20
33,2,9,20
33,2,10,20
33,2,11,20
33,2,12,20
34,1,1,1221
34,1,2,1221
34,1,3,1221
34,1,4,1221
34,1,5,1221
34,1,6,1221
34,1,7,1221
34,1,8,1221
34,1,9,1221
34,1,10,1221
34,1,11,1221
34,1,12,1221
34,2,1,20
34,2,2,20
34,2,3,20
34,2,4,20
34,2,5,20
34,2,6,20
34,2,7,20
34,2,8,20
34,2,9,20
34,2,10,20
34,2,11,20
34,2,12,20
35,1,1,1221
35,1,2,1221
35,1,3,1221
35,1,4,1221
35,1,5,1221
35,1,6,1221
35,1,7,1221
35,1,8,1221
35,1,9,1221
35,1,10,1221
35,1,11,1221
35,1,12,1221
35,2,1,20
35,2,2,20
35,2,3,20
35,2,4,20
35,2,5,20
35,2,6,20
35,2,7,20
35,2,8,20
35,2,9,20
35,2,10,20
35,2,11,20
35,2,12,20
36,1,1,1221
36,1,2,1221
36,1,3,1221
36,1,4,1221
36,1,5,1221
36,1,6,1221
36,1,7,1221
36,1,8,1221
36,1,9,1221
36,1,10,1221
36,1,11,1221
36,1,12,1221
36,2,1,20
36,2,2,20
36,2,3,20
36,2,4,20
36,2,5,20
36,2,6,20
36,2,7,20
36,2,8,20
36,2,9,20
36,2,10,20
36,2,11,20
36,2,12,20
37,1,1,1221
37,1,2,1221
37,1,3,1221
37,1,4,1221
37,1,5,1221
37,1,6,1221
37,1,7,1221
37,1,8,1221
37,1,9,1221
37,1,10,1221
37,1,11,1221
37,1,12,1221
37,2,1,20
37,2,2,20
37,2,3,20
37,2,4,20
37,2,5,20
37,2,6,20
37,2,7,20
37,2,8,20
37,2,9,20
37,2,10,20
37,2,11,20
37,2,12,20
38,1,1,1221
38,1,2,1221
38,1,3,1221
38,1,4,1221
38,1,5,1221
38,1,6,1221
38,1,7,1221
38,1,8,1221
38,1,9,1221
38,1,10,1221
38,1,11,1221
38,1,12,1221
38,2,1,20
38,2,2,20
38,2,3,20
38,2,4,20
38,2,5,20
38,2,6,20
38,2,7,20
38,2,8,20
38,2,9,20
38,2,10,20
38,2,11,20
38,2,12,20
39,1,1,1221
39,1,2,1221
39,1,3,1221
39,1,4,1221
39,1,5,1221
39,1,6,1221
39,1,7,1221
39,1,8,1221
39,1,9,1221
39,1,10,1221
39,1,11,1221
39,1,12,1221
39,2,1,20
39,2,2,20
39,2,3,20
39,2,4,20
39,2,5,20
39,2,6,20
39,2,7,20
39,2,8,20
39,2,9,20
39,2,10,20
39,2,11,20
39,2,12,20
40,1,1,1221
40,1,2,1221
40,1,3,1221
40,1,4,1221
40,1,5,1221
40,1,6,1221
40,1,7,1221
40,1,8,1221
40,1,9,1221
40,1,10,1221
40,1,11,1221
40,1,12,1221
40,2,1,20
40,2,2,20
40,2,3,20
40,2,4,20
40,2,5,20
40,2,6,20
40,2,7,20
40,2,8,20
40,2,9,20
40,2,10,20
40,2,11,20
40,2,12,20
41,1,1,1126
41,1,2,1126
41,1,3,1126
41,1,4,1126
41,1,5,1126
41,1,6,1126
41,1,7,1126
41,1,8,1126
41,1,9,1126
41,1,10,1126
41,1,11,1126
41,1,12,1126
41,2,1,18
41,2,2,18
41,2,3,18
41,2,4,18
41,2,5,18
41,2,6,18
41,2,7,18
41,2,8,18
41,2,9,18
41,2,10,18
41,2,11,18
41,2,12,18
42,1,1,1126
42,1,2,1126
42,1,3,1126
42,1,4,1126
42,1,5,1126
42,1,6,1126
42,1,7,1126
42,1,8,1126
42,1,9,1126
42,1,10,1126
42,1,11,1126
42,1,12,1126
42,2,1,18
42,2,2,18
42,2,3,18
42,2,4,18
42,2,5,18
42,2,6,18
42,2,7,18
42,2,8,18
42,2,9,18
42,2,10,18
42,2,11,18
42,2,12,18
43,1,1,1126
43,1,2,1126
43,1,3,1126
43,1,4,1126
43,1,5,1126
43,1,6,1126
43,1,7,1126
43,1,8,1126
43,1,9,1126
43,1,10,1126
43,1,11,1126
43,1,12,1126
43,2,1,18
43,2,2,18
43,2,3,18
43,2,4,18
43,2,5,18
43,2,6,18
43,2,7,18
43,2,8,18
43,2,9,18
43,2,10,18
43,2,11,18
43,2,12,18
44,1,1,1126
44,1,2,1126
44,1,3,1126
44,1,4,1126
44,1,5,1126
44,1,6,1126
44,1,7,1126
44,1,8,1126
44,1,9,1126
44,1,10,1126
44,1,11,1126
44,1,12,1126
44,2,1,18
44,2,2,18
44,2,3,18
44,2,4,18
44,2,5,18
44,2,6,18
44,2,7,18
44,2,8,18
44,2,9,18
44,2,10,18
44,2,11,18
44,2,12,18
45,1,1,1126
45,1,2,1126
45,1,3,1126
45,1,4,1126
45,1,5,1126
45,1,6,1126
45,1,7,1126
45,1,8,1126
45,1,9,1126
45,1,10,1126
45,1,11,1126
45,1,12,1126
45,2,1,18
45,2,2,18
45,2,3,18
45,2,4,18
45,2,5,18
45,2,6,18
45,2,7,18
45,2,8,18
45,2,9,18
45,2,10,18
45,2,11,18
45,2,12,18
46,1,1,1126
46,1,2,1126
46,1,3,1126
46,1,4,1126
46,1,5,1126
46,1,6,1126
46,1,7,1126
46,1,8,1126
46,1,9,1126
46,1,10,1126
46,1,11,1126
46,1,12,1126
46,2,1,18
46,2,2,18
46,2,3,18
46,2,4,18
46,2,5,18
46,2,6,18
46,2,7,18
46,2,8,18
46,2,9,18
46,2,10,18
46,2,11,18
46,2,12,18
47,1,1,1126
47,1,2,1126
47,1,3,1126
47,1,4,1126
47,1,5,1126
47,1,6,1126
47,1,7,1126
47,1,8,1126
47,1,9,1126
47,1,10,1126
47,1,11,1126
47,1,12,1126
47,2,1,18
47,2,2,18
47,2,3,18
47,2,4,18
47,2,5,18
47,2,6,18
47,2,7,18
47,2,8,18
47,2,9,18
47,2,10,18
47,2,11,18
47,2,12,18
48,1,1,1126
48,1,2,1126
48,1,3,1126
48,1,4,1126
48,1,5,1126
48,1,6,1126
48,1,7,1126
48,1,8,1126
48,1,9,1126
48,1,10,1126
48,1,11,1126
48,1,12,1126
48,2,1,18
48,2,2,18
48,2,3,18
48,2,4,18
48,2,5,18
48,2,6,18
48,2,7,18
48,2,8,18
48,2,9,18
48,2,10,18
48,2,11,18
48,2,12,18
49,1,1,1126
49,1,2,1126
49,1,3,1126
49,1,4,1126
49,1,5,1126
